accuracy,inducer,response_time,subject_nr,valid
0,1,793.9802999999374,3,1
1,1,617.9106999998912,3,1
0,1,607.2013000003062,3,1
1,1,1022.4638000000268,3,-1
1,1,820.3939000004902,3,1
1,1,655.6786000002176,3,1
1,1,860.9451999999583,3,1
1,1,865.5587999999989,3,-1
1,1,614.8266000000294,3,1
0,1,645.4254000000656,3,1
0,1,731.3261999997776,3,1
1,1,756.6170000000857,3,1
1,1,927.8566000002902,3,-1
0,1,628.5032000006177,3,1
1,1,593.1097000001464,3,1
1,1,919.7162999999709,3,-1
0,1,840.9815000004601,3,1
1,1,972.2619000002742,3,1
1,1,598.1873000001069,3,1
1,1,598.099400000181,3,1
1,1,845.3836999996565,3,-1
0,1,553.363899999531,3,1
1,1,626.6061999995727,3,1
1,1,679.2157000000589,3,1
1,1,1131.179199999664,3,1
1,1,653.7534999998752,3,1
1,1,579.6975000002421,3,1
1,1,611.6049000003841,3,1
0,1,730.2539000003599,3,-1
0,1,666.8473999998532,3,1
1,1,631.466599999927,3,1
0,1,1349.4065999994054,3,1
0,1,791.3302999995649,3,1
0,1,862.5958000002429,3,-1
1,1,547.2012000000104,3,1
1,1,636.4685999997891,3,1
1,1,585.7765000001527,3,1
1,1,1081.6709000002593,3,-1
1,1,1053.6179000004195,3,-1
1,1,490.873399999924,3,1
1,1,750.1649000006728,3,1
1,1,655.4031000006944,3,1
1,1,1133.391599999275,3,-1
0,1,528.0148000000045,3,1
1,1,513.9961999999359,3,1
0,1,659.2006000000983,3,1
1,1,1015.8381999996491,3,-1
1,1,558.3471000003628,3,1
0,1,911.6378999999724,3,-1
0,1,591.5589999994263,3,1
0,1,812.8618000000715,3,1
1,1,936.7673000004143,3,-1
0,1,882.7289999998175,3,1
1,1,792.6796999997459,3,1
1,1,823.9503999995068,3,1
1,1,613.8606999996118,3,1
1,1,735.7789999996312,3,1
1,1,573.7015000004321,3,1
1,1,597.0066999997944,3,1
1,1,616.2359000002034,3,1
1,1,808.8379000001587,3,-1
0,1,755.4287000000477,3,-1
1,1,705.3576999995857,3,1
1,1,1219.2765999995172,3,-1
0,1,595.2429999997839,3,1
1,1,451.1628000000492,3,1
1,1,631.7217000005767,3,1
1,1,481.66619999939576,3,1
1,1,733.6160000003874,3,-1
1,1,615.5656999996863,3,1
1,1,549.4730999995954,3,1
0,1,748.1164000001736,3,1
0,1,484.70860000001267,3,1
0,1,568.6650000005029,3,-1
0,1,638.551299999468,3,-1
1,1,642.4712999993935,3,-1
0,1,477.03360000019893,3,1
0,1,633.6415000003763,3,1
1,1,803.597500000149,3,1
1,1,1570.1417999998666,3,-1
0,1,689.4077999996953,3,-1
0,1,525.2774000000209,3,1
1,1,534.5948000005446,3,1
0,1,936.4580999999307,3,-1
1,1,650.4096000008285,3,1
0,1,825.6809000005014,3,1
0,1,594.9284000005573,3,1
1,1,401.45269999979064,3,1
0,1,328.71860000072047,3,1
1,1,586.6674000001512,3,1
0,1,851.2682000002824,3,1
0,1,519.8734000003897,3,1
1,1,565.749700000044,3,1
0,1,1279.0471999999136,3,1
1,1,888.3053000005893,3,-1
0,1,810.8688000002876,3,1
1,-1,855.6148999994621,3,1
0,-1,1051.6121000000276,3,-1
1,-1,463.51010000053793,3,-1
1,-1,387.4662000001408,3,1
0,-1,402.7188999997452,3,1
1,-1,680.6521999994293,3,-1
1,-1,812.5737999998964,3,-1
1,-1,522.5177000002004,3,1
0,-1,355.8086000001058,3,1
0,-1,715.0979999997653,3,-1
1,-1,605.6809000000358,3,1
1,-1,554.9504000004381,3,1
1,-1,408.2072999998927,3,1
1,-1,862.162700000219,3,-1
0,-1,490.7904000002891,3,1
1,-1,844.6775000002235,3,1
0,-1,1359.9722999995574,3,1
1,-1,1168.5787000008859,3,1
1,-1,505.82480000006035,3,1
0,-1,1637.1069000000134,3,1
1,-1,531.6394000002183,3,1
1,-1,605.6502000000328,3,1
0,-1,636.2254999997094,3,1
0,-1,724.1705999993719,3,1
0,-1,661.4688000003807,3,1
1,-1,1001.9884999999776,3,1
0,-1,474.02169999992475,3,1
1,-1,590.6005999995396,3,1
1,-1,413.2212999998592,3,1
1,-1,780.4821999999695,3,-1
1,-1,535.0490000001155,3,1
1,-1,603.0222999998368,3,-1
1,-1,538.3069000001997,3,1
1,-1,388.8522999994457,3,1
1,-1,636.753700000234,3,1
1,-1,522.1237000003457,3,1
1,-1,490.66330000013113,3,1
1,-1,1242.6204000003636,3,-1
0,-1,839.8821999998763,3,1
1,-1,551.0831000003964,3,1
0,-1,559.6241000005975,3,-1
1,-1,408.28639999916777,3,1
0,-1,818.8844999996945,3,1
1,-1,508.160800000187,3,1
1,-1,1093.4179000006989,3,1
0,-1,643.9083000007086,3,-1
1,-1,629.2036999994889,3,1
0,-1,627.0593999996781,3,1
1,-1,499.74800000013784,3,1
1,-1,944.984500000719,3,1
0,-1,634.8836000007577,3,1
0,-1,667.4639999996871,3,1
1,-1,834.7622000002302,3,1
0,-1,716.0304000000469,3,-1
0,-1,435.24990000063553,3,1
1,-1,967.8930999999866,3,1
1,-1,688.4473999999464,3,-1
1,-1,544.4140999997035,3,1
0,-1,740.2894000005908,3,-1
1,-1,740.2352000004612,3,1
1,-1,503.47109999973327,3,1
0,-1,730.7654000008479,3,1
0,-1,252.04970000032336,3,1
0,-1,984.6274999999441,3,-1
1,-1,528.6105000004172,3,1
0,-1,2000.025299999863,3,1
1,-1,699.0955999996513,3,1
1,-1,1244.3123000003397,3,-1
1,-1,756.9042000006884,3,1
1,-1,595.5307000004686,3,1
0,-1,572.7211000001989,3,1
1,-1,689.3280000002123,3,-1
1,-1,619.9699999997392,3,1
1,-1,629.880600000266,3,-1
1,-1,563.7653999999166,3,1
0,-1,631.7199000008404,3,1
0,-1,618.9751000003889,3,1
0,-1,1054.2303999993019,3,-1
0,-1,730.797300000675,3,-1
0,-1,570.0596999991685,3,-1
0,-1,594.0621999995783,3,1
1,-1,499.973300000187,3,1
0,-1,521.8593999994919,3,1
0,-1,331.8235999997705,3,-1
1,-1,789.1724000000395,3,1
1,-1,581.0185000011697,3,1
1,-1,456.97959999972954,3,1
0,-1,485.53049999987707,3,-1
1,-1,561.4923999998719,3,1
1,-1,1058.0996999996714,3,1
1,-1,866.0467000007629,3,-1
1,-1,1042.6119000003673,3,1
1,-1,711.2216000002809,3,1
1,-1,673.6718000010587,3,1
0,-1,545.6357999993488,3,1
0,-1,394.3375999988057,3,1
1,1,886.816000000108,3,1
1,1,682.7436999990605,3,-1
1,1,462.7013999996707,3,1
1,1,733.2305999989621,3,-1
1,1,558.5690000005998,3,1
0,1,535.179800000973,3,1
0,1,527.7819000002928,3,-1
