color,pupil_95_105,subject_nr
blue,4.677756431461897,1
blue,4.626701921041749,2
blue,4.325532229111259,3
blue,3.4448425629982715,4
blue,4.0194928154712715,6
blue,nan,8
blue,6.0555848188853405,9
blue,5.229233001206262,10
blue,5.068643886632648,11
blue,3.0878452608188445,12
blue,3.206504442553191,13
blue,3.543116471090046,14
blue,4.2758481541878615,15
blue,4.06246690110959,16
blue,4.250569926673497,17
blue,3.110342352983581,19
blue,4.64214727048063,20
blue,3.0930587833956444,21
blue,3.2806588565968013,22
blue,4.088506036164033,23
blue,4.475489660831931,24
blue,4.6017079661925075,25
blue,2.603502792312585,26
blue,4.472297590230934,27
blue,nan,28
blue,4.244902744294828,29
blue,3.693247316104794,30
blue,3.360544207923869,31
blue,4.084849363167267,32
blue,5.600314064760448,33
red,4.773308713931649,1
red,5.227467336041143,2
red,4.399084130598068,3
red,3.4832022010258212,4
red,4.577365876632252,6
red,3.4353420833900605,8
red,4.601319840665525,9
red,6.1655467035086815,10
red,4.813389656739515,11
red,3.0737665374276832,12
red,3.368747587202172,13
red,3.911801932558361,14
red,4.411056808573328,15
red,3.858194452455142,16
red,4.238988419074512,17
red,3.077825257693343,19
red,4.936278506948105,20
red,2.9924908949954894,21
red,3.3134999990303506,22
red,4.09367539256886,23
red,5.374772438580988,24
red,4.419343218789317,25
red,2.881062353724165,26
red,4.791214551483312,27
red,nan,28
red,3.866266894054193,29
red,3.796743882417432,30
red,3.0908562708397014,31
red,4.056428400346799,32
red,5.61344142936058,33
